"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0Ye20uKnWRs9MDLPjDef1o","Teyvat Chapter Storyline Preview: Travail (Genshin Impact)","spotify:artist:5f23L7gVIn65REaD3LGTzg","ChaconneScott","spotify:album:2A8SUKKsPb55eu2RgUgWJS","Teyvat Chapter Storyline Preview: Travail (Genshin Impact)","spotify:artist:5f23L7gVIn65REaD3LGTzg","ChaconneScott","2021-03-05","https://i.scdn.co/image/ab67616d0000b273f56842a3e2debe0938c6675b","1","1","255288","https://p.scdn.co/mp3-preview/88775c47b54c5eb126a9a0f542d541a742fa1f9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZDA72137071","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T03:49:05Z"
"spotify:track:4J3hejfolqxx0TSWjk2S2z","Shirasagi Princess","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","spotify:album:1allU3bi1l9t6yUBfjQt3S","Genshin Impact - The Stellar Moments Vol. 2 (Original Game Soundtrack)","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","2022-01-26","https://i.scdn.co/image/ab67616d0000b273a7dbcbf5013c0de853148e01","1","11","144001","https://p.scdn.co/mp3-preview/ecc39e10e4dd02de68ac6601351eeb504d78059e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","FR10S2242868","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T03:31:58Z"
"spotify:track:6GFicUZsx90ZwTNMXVIL83","Island for Outlanders","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:2S4UIiVgsFwV2e1vElIMjq","Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-09-22","https://i.scdn.co/image/ab67616d0000b27359fff708b5e52974a8017d1d","1","21","93040","https://p.scdn.co/mp3-preview/3ec7f9a6dde478a0011c13a47d92b547d60d3d36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","FRX452199083","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T03:27:51Z"
"spotify:track:0MroYLlVo3zeIO2rW7RSU6","Nothing but Ivy","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:2S4UIiVgsFwV2e1vElIMjq","Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-09-22","https://i.scdn.co/image/ab67616d0000b27359fff708b5e52974a8017d1d","2","16","77040","https://p.scdn.co/mp3-preview/a4927c8e79bda69a1add5e7e22cfb24987b56512?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","FRX452199114","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T03:26:24Z"
"spotify:track:2l0zHq18cbYPlWInhmt5iq","Fiery Pursuit","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:2S4UIiVgsFwV2e1vElIMjq","Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-09-22","https://i.scdn.co/image/ab67616d0000b27359fff708b5e52974a8017d1d","3","4","255066","https://p.scdn.co/mp3-preview/a440e8d84f8a32da60c9c9eb3550773b710e4f1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","FRX452199131","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T03:22:06Z"
"spotify:track:6boMhSqEsb7LcRWl0mzo9T","Streets of Elegance","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:2S4UIiVgsFwV2e1vElIMjq","Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-09-22","https://i.scdn.co/image/ab67616d0000b27359fff708b5e52974a8017d1d","1","4","117213","https://p.scdn.co/mp3-preview/8179fe5177f325f745fd379e9f25d305adf7220e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FRX452199066","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T03:21:01Z"
"spotify:track:0FVFRx0dv4xfBHp5VRkt5m","Hakushin's Lullaby","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:2S4UIiVgsFwV2e1vElIMjq","Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-09-22","https://i.scdn.co/image/ab67616d0000b27359fff708b5e52974a8017d1d","1","29","128973","https://p.scdn.co/mp3-preview/3543a1630d3b354404b07eb6e3d705c63e4c868b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FRX452199091","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T03:16:38Z"
"spotify:track:5Jz9y9DNWFKEKlR1edaDfq","Hustle and Bustle of Ormos","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","spotify:album:2P7SmTlPHLZxnvQZOMIGyr","Genshin Impact - Forest of Jnana and Vidya (Original Game Soundtrack)","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","2022-10-20","https://i.scdn.co/image/ab67616d0000b273e59900ac1e393fd453e12bae","1","14","108213","https://p.scdn.co/mp3-preview/68354cf2c2f7ce11f26bc7c1eac490aa10c2650e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FRX872292785","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-04-29T10:31:12Z"
"spotify:track:0XAivVlq04RdaO5FpIUcm3","Mondstadt Nighttime (Piano Cover)","spotify:artist:2dbjQX4XbIMrb5kayolqSZ","Chewie Melodies","spotify:album:3MM2EjuyNHOoB8gO5UhUwU","Genshin Impact Piano Cover Collection, Pt. 2","spotify:artist:2dbjQX4XbIMrb5kayolqSZ","Chewie Melodies","2020-10-19","https://i.scdn.co/image/ab67616d0000b2739bbf5881fa63fedf44ac6790","1","10","65762","https://p.scdn.co/mp3-preview/72c04a2d05d074d33ffc852a52ccabec469f39c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBSMU8909566","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-04-15T15:56:12Z"
"spotify:track:0DPedrjZdMWNlkml11HRbf","Overnight Dew in the Woods","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","spotify:album:2P7SmTlPHLZxnvQZOMIGyr","Genshin Impact - Forest of Jnana and Vidya (Original Game Soundtrack)","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","2022-10-20","https://i.scdn.co/image/ab67616d0000b273e59900ac1e393fd453e12bae","1","7","89066","https://p.scdn.co/mp3-preview/2e06b405f32db75b76ad78bc61eb0cb8fcf4edb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FRX872292778","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-04-15T15:54:32Z"
