"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4EWSwHFyTHZSZli6Q7wTqw","星屑ムーブメント","spotify:artist:3VpvaHk2dykIqqh0dEpE8N","team鳳","spotify:album:2ZcfOh8USF43XZuf3f0Fkm","☆SHOW TIME 10☆team鳳&華桜会/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:6js2VXyOzmzAd9EeV0w7ly","team鳳&華桜会","2015","https://i.scdn.co/image/ab67616d0000b27385f91d53f4dc46c05e9b6a62","1","1","283906","https://p.scdn.co/mp3-preview/7a1f17f4f5a2f96e9df0362236fca06c84dde26e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553810","","2025-10-22T14:58:09Z"
"spotify:track:3OK5WgmQRbyBMb0HbYslZo","uncontrol","spotify:artist:0CYYV9fNsznzq07jhfgLl0","柊 翼(CV:平川大輔)","spotify:album:4KvRAReweRuKJkbJWPMVPb","☆SHOW TIME 9☆鳳 樹×柊 翼&柊 翼/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:2Yls8Ajg6c4j0aET2BitZx","鳳 樹×柊 翼&柊 翼","2015","https://i.scdn.co/image/ab67616d0000b27306bd1168e5d2677fd50fcfb7","1","2","240266","https://p.scdn.co/mp3-preview/bd216b228db742386d337bdd3b8024a1c14662f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553750","","2025-10-22T14:53:40Z"
"spotify:track:2IKPCI8vbyRDK9HeHQER2c","Stand by Dreams","spotify:artist:7egzKRPfxeKUHcQGhckOfd","鳳 樹(CV:諏訪部順一)×柊 翼(CV:平川大輔)","spotify:album:4KvRAReweRuKJkbJWPMVPb","☆SHOW TIME 9☆鳳 樹×柊 翼&柊 翼/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:2Yls8Ajg6c4j0aET2BitZx","鳳 樹×柊 翼&柊 翼","2015","https://i.scdn.co/image/ab67616d0000b27306bd1168e5d2677fd50fcfb7","1","1","343773","https://p.scdn.co/mp3-preview/79e7d7d860fc0ce750f45249f510ccbd032506db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553740","","2025-10-22T14:47:27Z"
"spotify:track:7H3xKUENYthkRZbdAqxfUZ","The Elegance","spotify:artist:6J7zM1UZhj2u0S6O2WZszf","辰己琉唯（CV:岡本信彦）×申渡栄吾（CV:内田雄馬）","spotify:album:4WRwhHUZQNzw86GSbYHorh","☆SHOW TIME 7☆team柊&辰己琉唯×申渡栄吾/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:0GT1U4azB8dCKiJHe99oJh","team柊&辰己琉唯×申渡栄吾","2015","https://i.scdn.co/image/ab67616d0000b273e5714bfba75f2162b4fb41f4","1","2","256959","https://p.scdn.co/mp3-preview/d7c6764f6c68dc74848efcdc0c81121402bb4f83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553590","","2025-10-22T14:35:25Z"
"spotify:track:73zDydm2LsFNwRaigpnXsg","アヤナギ･ショウ･タイム～鳳アレンジVer.～","spotify:artist:3VpvaHk2dykIqqh0dEpE8N","team鳳","spotify:album:4x0qCrnN8oRXHVfGreOJ0e","☆SHOW TIME 6☆team鳳&team柊/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:0RXhgU4HqNsimELiWDJ8g6","team鳳&team柊","2015","https://i.scdn.co/image/ab67616d0000b273ab3c0e7f58ff02fef969d94d","1","2","256333","https://p.scdn.co/mp3-preview/886e1043ce2c5eb1af9612549a89c5ac13ef5fcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553301","","2025-10-22T14:00:35Z"
"spotify:track:1MCgAoH0Ru1Hqs5k6YYtF9","アヤナギ･ショウ･タイム","spotify:artist:3VfuffEtBwIEVAhEYBxd4S","team柊","spotify:album:4x0qCrnN8oRXHVfGreOJ0e","☆SHOW TIME 6☆team鳳&team柊/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:0RXhgU4HqNsimELiWDJ8g6","team鳳&team柊","2015","https://i.scdn.co/image/ab67616d0000b273ab3c0e7f58ff02fef969d94d","1","1","251680","https://p.scdn.co/mp3-preview/f0f259acdc48e3cec2c0a0f685031997d6fa2ec8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553300","","2025-10-22T13:47:14Z"
"spotify:track:2KIIkEy1z0XLTINNQ27oZ2","Caribbean Groove","spotify:artist:3VfuffEtBwIEVAhEYBxd4S","team柊","spotify:album:1EX1kUiLdsd9mDazAJIoAx","☆SHOW TIME 5☆team鳳&team柊/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:0RXhgU4HqNsimELiWDJ8g6","team鳳&team柊","2015","https://i.scdn.co/image/ab67616d0000b273cd9ab6f8a0996cfb76d7b7a3","1","2","227160","https://p.scdn.co/mp3-preview/76039e329bbbe999aebfa25de783c798cde592dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553570","","2025-10-22T13:43:32Z"
"spotify:track:4QKnFqc3AREw9DiCNtEgSm","五重奏 ～クインテット～","spotify:artist:3VpvaHk2dykIqqh0dEpE8N","team鳳","spotify:album:1EX1kUiLdsd9mDazAJIoAx","☆SHOW TIME 5☆team鳳&team柊/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:0RXhgU4HqNsimELiWDJ8g6","team鳳&team柊","2015","https://i.scdn.co/image/ab67616d0000b273cd9ab6f8a0996cfb76d7b7a3","1","1","261013","https://p.scdn.co/mp3-preview/396c06dabb398baeb59003e722bbc07db11a7b82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553560","","2025-10-22T13:39:14Z"
"spotify:track:28M6mpOmoHLHcigiOUNg2w","Honey!Honey!Trap!","spotify:artist:2a2IKUcXncH4ghiMuaKHcn","虎石和泉（CV:KENN）","spotify:album:6EunmIpPrLeOyyFwApwbiJ","☆SHOW TIME 4☆空閑 愁&虎石和泉/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:7xAUaGMdmxIW2C7GJwZhCH","空閑 愁&虎石和泉","2015","https://i.scdn.co/image/ab67616d0000b2738da43ff3ba9a6a1adbfaf266","1","2","249226","https://p.scdn.co/mp3-preview/c2955a3af7c84d33828ba6178b68bf395b5e947e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553290","","2025-10-22T13:36:05Z"
"spotify:track:1akOT89E4BQpWBXjddv5xR","Limited sky","spotify:artist:1lK33ukK0Q4oJDhE15QpGR","月皇海斗(CV:ランズベリー・アーサー)","spotify:album:3oIP1SlMCLSsRxFA7H88nK","☆SHOW TIME 3☆天花寺 翔&月皇海斗/｢スタミュ｣ミュージカルソングシリーズ","spotify:artist:6Q4WbgKmW26PcHqkvBG9R4","天花寺 翔&月皇海斗","2015","https://i.scdn.co/image/ab67616d0000b27376a1b1698f44b7931f030ebc","1","2","241306","https://p.scdn.co/mp3-preview/2f11fdb0d60a4bf65367b629ef3c3caaa3b8b293?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPPI01553200","","2025-10-22T13:27:58Z"
